timestampMillis,events,httpRequests,httpErrors,jsErrors
1655947679956.9,84,21,2,2
1655948227454.1,116,37,2,3
1655948230874.3,6,5,0,0
1655948327427.7,4,2,0,0
1655948399690.6,5,3,0,0
1655948449406.5,3,2,0,0
1655948479474.2,3,1,0,0
1655948590414.3,2,1,0,0
1655948644390.7,2,1,0,0
1655948695311.1,2,0,0,0
1655948770416.7,2,1,0,0
1655948828311.3,2,1,0,0
1655948905416.3,1,0,0,0
1655948950420.4,2,1,0,0
1655949010418.2,2,1,0,0
1655949061352.2,1,0,0,0
1655949115422.7,3,1,0,0
1655949190417.4,2,1,0,0
1655949271946,1,0,0,0
1655949323702.3,1,0,0,0
1655949368560.4,2,1,0,0
1655949426821.9,2,1,0,0
1655949477382.9,2,0,0,0
1655949548314,2,1,0,0
1655949610431.2,2,1,0,0
1655949687952.3,1,0,0,0
1655949728313.8,2,1,0,0
1655949790419.3,2,1,0,0
1655949842311.3,1,0,0,0
1655949895430.1,3,1,0,0
1655949968311.4,2,1,0,0
1655950049452.3,1,0,0,0
1655950088314.4,2,1,0,0
1655950150420.9,2,1,0,0
1655950202741.5,1,0,0,0
1655950255422.3,3,1,0,0
1655950330424.6,2,1,0,0
1655950412234.8,1,0,0,0
1655950449905,2,1,0,0
1655950517431.1,1,0,0,0
1655950568497.4,2,1,0,0
1655950620940.8,2,1,0,0
1655950672311.5,3,1,0,0
1655950751695.1,12,1,0,9
1655950868775.3,5,1,0,3
1655950931029.1,6,2,0,3
1655950982665.4,4,0,0,3
1655951034311.2,5,1,0,3
1655951086326.2,1,0,0,0
1655951110799.6,6,2,0,3
1655951168418.2,4,0,0,3
1655951228408.8,5,1,0,3
1655951290791,6,2,0,3
1655951343011.7,4,0,0,3
1655951394311.2,5,1,0,3
1655951445327.4,1,0,0,0
1655951497261.2,7,2,0,3
1655951588311.2,5,1,0,3
1655951649844.4,3,1,0,0
1655951705059.5,2,1,0,0
1655951756741.9,2,1,0,0
1655951808214,1,0,0,0
1655951859311.1,2,1,0,0
1655951910311.1,3,1,0,0
1655952012503.5,1,0,0,0
1655952065331.9,2,1,0,0
1655952116744.3,2,1,0,0
1655952169795.1,1,0,0,0
1655952221745.3,2,1,0,0
1655952272311.2,3,1,0,0
1655952376311.1,1,0,0,0
1655952428255.7,2,1,0,0
1655952481241.3,2,1,0,0
1655952532311.2,1,0,0,0
1655952584747.4,2,1,0,0
1655952636598.4,2,1,0,0
1655952688233,2,0,0,0
1655952789726.2,2,1,0,0
1655952844243.6,2,1,0,0
1655952895340.9,1,0,0,0
1655952946710.3,2,1,0,0
1655952997311.1,2,1,0,0
1655953049701.5,2,0,0,0
1655953149694.2,2,1,0,0
1655953207860.8,2,1,0,0
1655953261224.4,1,0,0,0
1655953312311.2,2,1,0,0
1655953363311.3,2,1,0,0
1655953414311.2,1,0,0,0
1655953465350.3,3,1,0,0
1655953569651.2,2,1,0,0
1655953621132.6,1,0,0,0
1655953672311.2,2,1,0,0
1655953724725,2,1,0,0
1655953775311.2,1,0,0,0
1655953826311.2,3,1,0,0
1655953929618.5,2,1,0,0
1655953982728.7,1,0,0,0
1655954033311.3,2,1,0,0
1655954085714,2,1,0,0
